Runde;Dato;Dag;Tid;Hjemmelag;Resultat;Bortelag;Bane;Turnering;Kampnummer;Spillform
1;10.04.2023;mandag;15.00;Kjelsås;3 - 1;Arendal;Grefsen kunstgress;Post Nord-ligaen avd. 1;99120201003;11 MOT 11
1;10.04.2023;mandag;15.00;Træff;0 - 3;Brattvåg;Reknesbanen;Post Nord-ligaen avd. 1;99120201005;11 MOT 11
1;10.04.2023;mandag;15.00;Notodden;4 - 0;Ørn Horten;Notodden KG;Post Nord-ligaen avd. 1;99120201004;11 MOT 11
1;10.04.2023;mandag;15.00;Vard Haugesund;1 - 3;Egersund;Storhall Karmøy;Post Nord-ligaen avd. 1;99120201006;11 MOT 11
1;10.04.2023;mandag;18.00;Fram;0 - 4;Lyn 1896 FK;Framparken;Post Nord-ligaen avd. 1;99120201001;11 MOT 11
1;11.04.2023;tirsdag;17.00;Grorud;0 - 0;Aalesund 2;Grorud match kunstgress;Post Nord-ligaen avd. 1;99120201002;11 MOT 11
1;11.04.2023;tirsdag;17.00;Vålerenga 2;1 - 0;Fløy-Flekkerøy;Intility Arena;Post Nord-ligaen avd. 1;99120201007;11 MOT 11
2;15.04.2023;lørdag;13.00;Ørn Horten;3 - 0;Vard Haugesund;Lystlunden Stadion KG;Post Nord-ligaen avd. 1;99120201014;11 MOT 11
2;15.04.2023;lørdag;18.00;Lyn 1896 FK;2 - 0;Kjelsås;Nordre åsen kunstgressbane;Post Nord-ligaen avd. 1;99120201013;11 MOT 11
2;16.04.2023;søndag;13.00;Fløy-Flekkerøy;1 - 2;Træff;Cemo Arena Flekkerøy;Post Nord-ligaen avd. 1;99120201012;11 MOT 11
2;16.04.2023;søndag;15.00;Arendal;2 - 1;Grorud;Norac stadion;Post Nord-ligaen avd. 1;99120201009;11 MOT 11
2;17.04.2023;mandag;16.00;Aalesund 2;3 - 1;Fram;Color Line Stadion;Post Nord-ligaen avd. 1;99120201008;11 MOT 11
2;17.04.2023;mandag;17.00;Egersund;5 - 0;Vålerenga 2;Idrettsparken;Post Nord-ligaen avd. 1;99120201011;11 MOT 11
2;10.05.2023;onsdag;19.00;Brattvåg;0 - 1;Notodden;Brattvåg kunstgress;Post Nord-ligaen avd. 1;99120201010;11 MOT 11
